keyword,count
00,16
000,14
000萬,1
001,1
007,43
01,3
014,1
02,2
04,2
05,1
059,1
06,2
090,1
096,1
10,9
100,5
1000多,1
1000萬,2
100多萬,2
100萬,6
101年,1
103億,1
106萬,2
108億,1
10億,7
10分,2
10多,4
10幾,1
10日,14
10月,10
10月分手,1
10萬,4
10點,6
10點半,1
11,1
112,2
113,1
117,1
117億,1
11日,4
11月,19
11萬,1
11點,2
11點半,1
12,28
1200萬,2
120萬,1
121,1
123,1
123億,2
1240萬,1
1250,1
126,1
12億,2
12年,1
12時,1
12月,5
12萬,2
12點,1
12點半,1
13,18
130,1
134億,1
1350,1
1366多萬,1
136億,1
13年,1
13日,2
14,1
1400萬,1
140多,1
140萬,1
147億,2
148,1
14億,1
14億2250萬,1
14日,3
14萬,1
14號,1
15,3
150,6
1500萬,4
150萬,3
152,2
157億,1
15日,1
15萬,3
15萬2000,1
16,6
1600萬,1
160萬,1
161,1
1680,1
16日,7
16萬,1
16萬2千,1
17,13
1700萬,1
170萬,3
173億4400萬,1
175億,6
177億,1
178,1
17世紀,3
18,46
1800萬,3
180萬,2
1850年,1
1853年,3
1854年,1
185萬,1
186,3
1890年,1
18日,1
19,25
1904年,1
1917,6
192,1
1920年代,2
1922年,1
1927年,1
1928年,2
1929年,10
1930年,1
1930年代,4
1931年,1
1934年,1
1936年,1
1937年,1
1939年,2
1940年,1
1941年,1
1942年,1
1945年,2
1947年,2
1948年,3
1949,1
1950年,1
1950年代,2
1951年,1
1952,1
1952年,3
1953年,3
1954年,4
1955年,1
1957,1
1958年,2
1959年,2
1960年代,4
1961年,2
1962年,1
1963年,2
1964年,3
1965年,4
1967年,3
1968年,2
1969年,1
1970年,3
1970年代,3
1971年,2
1972年,6
1974年,5
1976年,8
1977年,2
1979年,5
197萬,1
1980,1
1980年,3
1980年代,6
1981,1
1981年,2
1982年,1
1983年,4
1984年,2
1985年,2
1986年,4
1987年,5
1988,2
1988年,2
1989年,8
1990年,4
1990年代,6
1991年,2
1992年,5
1993年,10
1994年,4
1995年,7
1996年,11
1997,2
1997年,15
1998,1
1998年,12
1999,1
1999年,6
19世紀,7
19日,2
1億,4
1億2千萬,3
1億4200萬,1
1億5000萬,1
1億5478萬,1
1億7700萬,1
1成,1
1日,7
1月,16
1萬,2
1萬2千,1
1萬5千,1
1萬7999,2
1萬7千,1
1萬多,1
1號,1
20,53
200,4
2000,2
2000年,6
2000萬,7
2001年,11
2002年,13
2003年,12
2004年,15
2005,6
2005年,12
2006年,16
2007年,13
2008年,17
2009年,10
2009月,1
200多,2
200萬,4
201,1
2010,3
2010年,19
2011,9
2011年,15
2012,2
2012年,16
2013,1
2013年,17
2014年,21
2015年,19
2016年,13
2017年,16
2018,4
2018年,8
2019年,4
2020年,3
2021,6
2021年,1
2024萬,1
20世紀,1
20億,1
20多,10
20年,1
20年代,3
20幾,1
20日,4
20萬,4
21,4
210,1
2100萬,3
2102年,1
212,2
214萬,1
218萬,1
21世紀,3
21年,1
21日,7
22,4
2201萬,1
2240億,1
224萬8000,1
224萬8千,1
225萬,2
228,7
22日,13
22號,1
23,17
2300萬,1
230萬,1
2360萬,4
23年,1
23日,13
23萬2千,1
240,1
2400萬,2
24億,1
24日,6
24萬,1
25,4
2500萬,3
250萬,2
2525萬,1
25年,1
25日,16
260萬,1
2650萬,5
2650萬多,1
268萬,1
26日,13
27,1
270,2
270萬,3
279,1
27日,12
28,3
280,1
2800萬,1
2815萬,1
2824,1
2890萬,1
28億,1
28日,11
29,1
2900萬,1
291,1
291萬,2
295,1
2960萬,4
296萬,1
29億,3
29年,1
29日,12
2d,1
2n,1
2億,8
2億多,1
2千萬,2
2成,2
2日,8
2月,15
2樓,2
2獎,2
2百萬,1
2萬,6
30,20
3000多,1
3000萬,6
300多萬,1
300萬,4
3030萬,1
303億,1
3048,4
30億,3
30分,10
30多,2
30幾,1
30日,2
30萬,4
31,1
310萬,4
318萬,1
32,3
3200萬,3
3202億,1
326,1
3280,1
3290萬,3
33,1
333,1
33643,1
33億,1
3400餘萬,1
3440萬,1
35,5
350,2
3500萬,1
36,28
3600萬,4
3639萬,1
3660萬,1
36億,3
36年,1
36萬,1
3790萬,1
3791萬,1
38,2
38億,1
39,1
3930萬,2
3990萬,1
3c,6
3d,42
3d版,2
3m,3
3p,3
3po,1
3r,1
3億,14
3億2000萬,1
3千,2
3千萬,1
3日,1
3月,35
3獎,6
3萬,3
3萬3643,1
3萬6,1
3部曲,1
3點,1
40,2
400,2
4000,1
4000萬,5
400萬,8
4030萬,4
40多,1
40年代,1
40幾,1
40萬,1
414,1
4160萬,1
417億,1
42,2
420,1
426億,1
426億7500萬,1
428,2
42億,1
43,2
4300萬,4
431萬餘,1
4321萬,1
4350萬,1
44,12
446,1
45,13
450,1
4500萬,4
45億,1
45年,1
470萬,2
474萬,1
48,1
480萬,1
48年,1
491,2
4k,1
4minute,1
4億,9
4億5千萬,1
4億多,1
4兆,1
4冠王,1
4千萬,2
4日,3
4月,12
4獎,2
4萬,1
4點,3
50,36
500,15
5000,1
5000萬,7
500多萬,1
500萬,8
50億,2
50多,1
50年代,2
51,6
5131萬,1
51億,1
52,1
520,1
5200萬,1
52萬,1
52萬7288,2
53,1
5336萬,2
53年,1
5400萬,1
540億,1
54萬,1
54萬1000,1
55,1
550,1
5500萬,1
55億,1
56,7
5600萬,1
57,2
5700萬,1
5740萬,1
575,1
57億,1
57萬,1
57萬5000,1
58,1
58萬,3
59,2
5900萬,1
590萬,1
59億,1
59萬,2
5n,1
5億,17
5億3千萬,1
5億8342萬,1
5成,2
5日,4
5時,1
5月,14
5獎,2
5百萬,1
